date,open,high,low,close,volume,date_str,daily_return,daily_volatility,sma_20,sma_50,volume_ma_20
2025-05-08,2.105,2.105,2.01,2.05,5411238.0,2025-05-08,-0.009661835748792313,0.05515579230254562,2.0170000000000003,1.9585,4720511.5
2025-05-09,2.06,2.07,1.94,1.97,6319226.0,2025-05-09,-0.03902439024390236,0.053857810168421165,2.0260000000000002,1.9598999999999998,4846006.95
2025-05-12,2.1,2.13,2.04,2.09,6960699.0,2025-05-12,0.060913705583756306,0.05138288655187779,2.0324999999999998,1.9641,4931140.3
2025-05-13,2.11,2.3,2.05,2.27,10231713.0,2025-05-13,0.0861244019138756,0.05446644280851116,2.0460000000000003,1.9753,5087031.25
2025-05-14,2.46,2.555,2.3,2.41,15771145.0,2025-05-14,0.06167400881057272,0.05573708734552765,2.0665,1.9907000000000001,5711741.75
2025-05-15,2.2,2.24,2.08,2.19,11067553.0,2025-05-15,-0.09128630705394203,0.058513448762027014,2.0814999999999997,2.0007,6091028.65
2025-05-16,2.23,2.6,2.215,2.58,14498483.0,2025-05-16,0.17808219178082196,0.06969113541270316,2.1145,2.0211,6720709.35
2025-05-19,2.32,2.4,2.2426,2.32,9577927.0,2025-05-19,-0.10077519379844968,0.07300700994253502,2.1395,2.0362999999999998,7029439.0
2025-05-20,2.37,2.51,2.3,2.34,10688973.0,2025-05-20,0.008620689655172376,0.07286990830967274,2.166,2.0545,7432589.45
2025-05-21,2.33,2.39,2.12,2.15,10029892.0,2025-05-21,-0.08119658119658113,0.07271302150523705,2.1734999999999998,2.0645000000000002,7682667.0
2025-05-22,2.16,2.39,2.13,2.31,9400200.0,2025-05-22,0.07441860465116279,0.07118262624895559,2.179,2.0781,7796038.95
2025-05-23,2.25,2.32,2.19,2.2,7063527.0,2025-05-23,-0.04761904761904756,0.07204644729616919,2.177,2.0877,7854125.55
2025-05-27,2.26,2.87,2.25,2.85,30033610.0,2025-05-27,0.2954545454545454,0.09717495223222139,2.21,2.1109,9095034.4
2025-05-28,2.9,2.9,2.51,2.53,24179239.0,2025-05-28,-0.11228070175438609,0.10022471117519738,2.2329999999999997,2.1167000000000002,10147446.85
2025-05-29,2.82,2.82,2.53,2.54,20786587.0,2025-05-29,0.0039525691699606735,0.09917638107487352,2.2615,2.1294,10945272.55
2025-05-30,2.465,2.465,2.2,2.31,18777393.0,2025-05-30,-0.09055118110236215,0.10206153439870912,2.277,2.133,11707196.8
2025-06-02,2.38,2.545,2.31,2.4,14772342.0,2025-06-02,0.03896103896103886,0.10063238366971337,2.288,2.1382,12198888.1
2025-06-03,2.47,2.52,2.275,2.31,12745656.0,2025-06-03,-0.03749999999999998,0.10026852530419503,2.3,2.1392,12264762.75
2025-06-04,2.325,2.46,2.27,2.42,10294460.0,2025-06-04,0.04761904761904767,0.10060703958984943,2.3155,2.1355999999999997,12627005.4
2025-06-05,2.42,2.615,2.3,2.34,21425833.0,2025-06-05,-0.03305785123966942,0.10087962808594718,2.3289999999999997,2.1323999999999996,13501784.8
2025-06-06,2.39,2.5,2.31,2.36,14915749.0,2025-06-06,0.008547008547008517,0.1007688346169905,2.3445,2.1332,13977010.35
2025-06-09,2.415,2.53,2.36,2.38,13650340.0,2025-06-09,0.008474576271186418,0.10007137469131565,2.3649999999999998,2.137,14343566.05
2025-06-10,2.4,2.42,2.175,2.2,16794177.0,2025-06-10,-0.07563025210084018,0.10134681049962617,2.3705000000000003,2.143,14835239.95
2025-06-11,2.26,2.26,2.01,2.03,19074281.0,2025-06-11,-0.07727272727272738,0.10122716238451017,2.3585,2.1439999999999997,15277368.35
2025-06-12,2.04,2.055,1.97,1.99,9987341.0,2025-06-12,-0.01970443349753681,0.10020279932527826,2.3375,2.1432,14988178.15
2025-06-13,1.95,1.98,1.87,1.88,9223819.0,2025-06-13,-0.055276381909547756,0.0988882548656327,2.322,2.1430000000000002,14895991.45
2025-06-16,1.91,2.04,1.9,2.03,7504333.0,2025-06-16,0.07978723404255317,0.09156893591188117,2.2945,2.144,14546283.95
2025-06-17,2.0,2.0001,1.9,1.9,5834584.0,2025-06-17,-0.064039408866995,0.08996979255820108,2.2735,2.1441999999999997,14359116.8
2025-06-18,1.89,1.97,1.87,1.87,6421056.0,2025-06-18,-0.015789473684210464,0.08992064933145069,2.25,2.1431999999999998,14145720.95
2025-06-20,1.88,1.92,1.79,1.79,9088019.0,2025-06-20,-0.042780748663101664,0.08866818158319084,2.232,2.1442,14098627.3
2025-06-23,1.76,1.81,1.71,1.78,6920569.0,2025-06-23,-0.005586592178770999,0.0866443309837515,2.2055,2.1416000000000004,13974645.75
2025-06-24,1.84,1.98,1.83,1.94,8311158.0,2025-06-24,0.0898876404494382,0.0889044511211718,2.1925,2.1446,14037027.3
2025-06-25,2.0,2.05,1.88,1.9,7205199.0,2025-06-25,-0.020618556701030966,0.05454008554376733,2.1450000000000005,2.1434,12895606.75
2025-06-26,1.99,2.075,1.97,2.06,8708470.0,2025-06-26,0.08421052631578951,0.054482334366620276,2.1215,2.1445999999999996,12122068.3
2025-06-27,2.18,2.19,1.91,1.94,25229770.0,2025-06-27,-0.058252427184466105,0.0554813021736234,2.0915000000000004,2.1433999999999997,12344227.45
2025-06-30,2.0,2.0399,1.9446,1.95,7198450.0,2025-06-30,0.005154639175257714,0.0523840467555555,2.0735,2.1446,11765280.3
2025-07-01,1.95,1.98,1.87,1.945,5580627.0,2025-07-01,-0.002564102564102555,0.05127162758169051,2.05075,2.1451000000000002,11305694.55
2025-07-02,1.92,2.03,1.92,2.01,5573548.0,2025-07-02,0.03341902313624656,0.051663696853811815,2.0357499999999997,2.1489,10947089.15
2025-07-03,2.03,2.04,1.94,1.96,4398334.0,2025-07-03,-0.02487562189054715,0.05025170447068407,2.0127499999999996,2.1519,10652282.85
2025-07-07,1.95,1.9599,1.83,1.86,7052397.0,2025-07-07,-0.05102040816326525,0.05085558714709638,1.98875,2.1491,9933611.05
2025-07-08,1.88,1.91,1.86,1.91,5241682.0,2025-07-08,0.026881720430107503,0.05137385791507377,1.96625,2.1433,9449907.7
2025-07-09,1.91,1.93,1.84,1.9,5565354.0,2025-07-09,-0.005235602094240788,0.0512157108828833,1.94225,2.1365,9045658.4
2025-07-10,1.88,1.905,1.83,1.87,5450649.0,2025-07-10,-0.015789473684210464,0.048871970564474454,1.9257499999999996,2.1301,8478482.0
2025-07-11,1.86,1.87,1.78,1.82,6806335.0,2025-07-11,-0.0267379679144385,0.04628394116632314,1.91525,2.1251,7865084.7
2025-07-14,1.81,1.85,1.8,1.83,3605131.0,2025-07-14,0.005494505494505475,0.04618961592350568,1.9072500000000001,2.1223,7545974.2
2025-07-15,1.83,1.84,1.73,1.73,5263259.0,2025-07-15,-0.05464480874316946,0.04615232996024706,1.8997499999999998,2.1169,7347946.2
